HTA_maille,surface_tertiaire_electricite,surface_tertiaire_non_electricite,surface_residentiel_collectif_electricite,surface_residentiel_collectif_non_electricite,surface_residentiel_individuel_electricite,surface_residentiel_individuel_non_electricite,surface_dependance,surface_secondaire,CARREAU_nb_individus_0_3,CARREAU_nb_individus_4_5,CARREAU_nb_individus_6_10,CARREAU_nb_individus_11_17,CARREAU_nb_individus_18_24,CARREAU_nb_individus_25_39,CARREAU_nb_individus_40_54,CARREAU_nb_individus_55_64,CARREAU_nb_individus_65_79,CARREAU_nb_individus_80_plus,CARREAU_nb_individus_age_inconnu,CARREAU_revenu_bat,FUS_nb_log,CARREAU_nb_menages,CARREAU_nb_menages_pauvres,CARREAU_nb_menages_1_individu,CARREAU_nb_menages_5_indiv_et_plus,CARREAU_nb_menages_proprietaires,CARREAU_nb_menages_monoparentaux,CARREAU_surface_logements_carreau,CARREAU_nb_menages_logements_collectifs,CARREAU_nb_menages_maisons,CARREAU_nb_logements_sociaux,CARREAU_nb_individus,BDNB_hauteur,FUS_annee_construction,CARREAU_surface_par_personne,CARREAU_age_moyen_occupants,CARREAU_revenu_par_habitant,pred_residential_mwh,pred_non_residential_mwh,pred_total_mwh,aggregation_type,source_meshes,n_base_meshes_combined
F03_F04_F05_F17_F25,177090.116,326252.2309,746834.2875,1262595.048,13166.72224,74009.01173,11441.82717,584.7808213,763.8203455,407.5420817,944.1926295,1322.488897,2028.894994,5354.066136,3645.160462,2035.564579,2588.359353,1272.079744,13.37104186,557828897.6,32194.15868,11010.47565,1647.971548,5769.370316,411.1190416,4781.230595,980.870289,808758.5183,10722.14958,288.3260657,1049.659174,20375.54026,19.09156072,1930.438857,103.2135905,40.73080968,27377.37946,37995.12856,52110.82097,90105.94953,pair_merge,"F03_F04_F05_F17,F25",2
F03_F04_F05_F17_F28,238908.5346,343848.9674,636919.0385,1018003.045,18370.85273,85826.93129,9071.3697,813.1708213,593.2631794,323.4154177,788.4672048,1113.109903,1654.661398,4134.000148,2973.378823,1729.917498,2180.617134,1056.835158,14.61253876,455995612.9,26758.67055,8866.59653,1337.948039,4582.804873,356.6003153,3887.630364,793.510175,665634.8374,8594.351454,272.2450768,929.4710986,16562.2784,18.47300496,1928.104891,106.6005187,41.10465577,27532.17896,31686.78204,58099.14438,89785.92642,pair_merge,"F03_F04_F05_F17,F28",2
F03_F04_F05_F17_F29,256143.1809,313562.0486,754850.8046,1060076.523,12761.87139,71072.18243,14821.4397,1194.210821,663.7274548,348.37038,872.182792,1210.847613,1922.994623,4939.543635,3331.993077,1789.301788,2241.625192,1094.138294,13.92727283,496970407.9,30665.11536,10071.05409,1717.832187,5399.464189,377.8196707,4051.437382,895.2907345,720582.9828,9863.02771,208.0263788,1110.44246,18428.65212,18.76656619,1928.13789,103.3818952,40.28546229,26967.2684,35615.90698,59353.85066,94969.75764,pair_merge,"F03_F04_F05_F17,F29",2
F03_F04_F05_F17_F30,158076.7826,308976.866,647436.0953,1011050.154,9896.300112,64327.93719,8394.8447,584.7808213,567.6735982,299.1543101,743.3885026,1049.677926,1624.072886,4163.113206,2847.116494,1597.193163,2050.36597,1015.173,13.82028134,444699866.2,25808.24471,8648.742789,1329.902086,4551.93692,328.0281672,3666.263529,752.6538883,646397.1353,8449.427801,199.3149881,854.2297222,15970.74934,19.10772815,1921.095081,108.895209,40.88280183,27844.64628,31177.5134,48376.43823,79553.95163,pair_merge,"F03_F04_F05_F17,F30",2
F07_F08,97044.77478,203698.9829,232632.7211,709249.053,5380.661936,55277.39317,3023.940442,14920.54558,533.8302726,260.4492144,688.5489268,838.9843563,995.9283912,3024.385002,2134.269442,1119.477692,1268.394478,751.1283844,16.8171577,256279934,21127.25905,5973.514477,1082.055769,2970.787589,313.6195247,2465.93121,664.9541121,385461.5473,5810.095617,163.41886,1038.617066,11632.21332,17.18861618,1976.94281,86.23856907,39.46038854,22031.91491,17097.82509,31496.88556,48594.71064,pair_merge,"F07,F08",2
F07_F27,85536.65939,115510.5978,406874.4844,587810.482,17423.26799,70635.25499,6348.009671,8739.925296,575.6245387,280.8759426,668.5168361,817.2839183,1139.007486,3618.25023,2312.557032,1226.471144,1442.719689,888.924626,9.756036009,302326761,24228.31417,7068.466294,1101.060816,3752.114564,268.8163065,3223.845931,704.5153183,454288.5172,6816.078478,252.3878159,596.2297632,12979.98748,17.67663762,1965.753507,83.47332873,40.0401216,23291.76061,21279.48335,20222.67149,41502.15484,pair_merge,"F07,F27",2
F07_F28,143035.5616,146817.1832,264272.7055,411229.1504,12574.83455,58403.77434,2523.470442,2984.180296,390.5201414,191.1931488,463.5620584,573.1240994,773.2387342,2370.476291,1640.170572,858.2191731,933.7314296,528.1698532,9.155902957,205548802.3,16303.59943,4667.124201,704.675593,2415.280827,192.0234454,2128.138942,468.429819,300295.6435,4457.624365,209.4998356,414.6519059,8731.561404,15.79660197,1968.008792,85.54387842,39.5744564,23540.89868,14134.31258,27183.06403,41317.37661,pair_merge,"F07,F28",2
F07_F31,75234.42895,107405.3296,319877.5641,510589.276,11422.13424,77612.19586,13932.96352,3005.258763,504.233172,239.5469231,586.2865714,721.9247124,1013.230721,3243.861239,2102.047772,1047.23859,1110.390477,668.5755627,9.359937264,258170121.7,20274.91796,6145.833712,1049.458723,3286.193889,224.9325773,2622.145422,642.0472425,380091.5796,5845.665661,300.1680502,635.1813318,11246.69568,16.88842351,1963.451164,81.79756605,39.08676338,22955.1976,18585.18176,17826.59484,36411.7766,pair_merge,"F07,F31",2
F08_F31,96632.09145,155616.1322,221377.7142,627863.9433,10194.9723,64899.97951,13263.01308,12414.22375,469.4773559,236.0954197,612.8681893,776.3299437,921.1950522,2829.354641,1961.50511,1063.73722,1175.889487,655.9391141,10.41832417,236268231.5,17337.16589,5609.256006,1111.178753,2882.967917,268.6273067,2254.277786,610.2999997,359386.9732,5387.474508,221.7814972,1055.730845,10712.80986,18.00771061,1967.786633,86.29771849,39.51574171,22054.73957,17106.81786,25794.80925,42901.62711,pair_merge,"F08,F31",2
F08_F32,116781.1233,169644.529,291827.5786,718086.4099,7853.535078,34560.86271,3904.011136,14024.43529,527.6550103,257.7504004,657.3854093,811.9501692,1015.895139,3265.515921,2240.961225,1231.463367,1368.104299,716.159253,9.961608105,280301342.5,21001.87098,6477.577231,1179.945213,3396.981813,274.8343317,2589.415066,637.2192464,411782.533,6366.906372,110.6708598,1217.570982,12102.8018,17.23410349,1972.047342,86.98419825,39.85708055,23160.03741,19269.67284,30135.14954,49404.82237,pair_merge,"F08,F32",2
